f1f3syn(-1 ~ 1)	a1-a3[dB]	breathpow[dB]
0.636	-6.92	-31.62
0.574	-7.65	-30.93
0.596	-8.19	-36.12
0.513	-4.77	-38.84
0.468	-0.67	-44.34
0.589	-1.85	-47.33
0.454	1.37	-46.18
0.511	0.66	-47.53
0.748	-11.17	-44.71
0.476	-18.88	-26.26
0.554	-30.80	-23.34
0.584	-33.16	-23.44
0.603	-33.25	-25.32
0.619	-29.55	-28.44
0.548	-34.87	-24.50
0.547	-31.20	-24.64
0.528	-30.62	-28.15
0.397	-19.04	-33.70
0.711	-6.32	-43.11
0.731	-0.06	-39.70
0.735	3.88	-38.28
0.749	5.62	-39.50
0.759	11.18	-41.21
0.746	11.59	-40.58
0.699	12.57	-38.86
0.682	12.15	-47.15
0.680	15.01	-47.22
0.557	14.68	-40.76
0.672	14.29	-35.25
0.763	18.79	-48.13
0.745	13.28	-42.87
0.719	8.23	-38.87
0.748	7.94	-37.82
0.760	9.44	-38.69
0.775	9.62	-41.06
0.782	11.55	-40.67
0.777	10.54	-42.05
0.658	12.00	-37.75
0.687	16.46	-27.84
0.456	16.26	-22.10
0.438	16.81	-25.91
0.425	16.88	-30.50
0.574	16.94	-37.22
0.501	15.29	-48.94
0.527	14.81	-38.98
0.519	16.80	-53.03
0.517	16.09	-43.55
0.489	17.84	-42.27
0.409	15.17	-42.13
0.609	13.84	-50.42
0.537	13.19	-48.52
0.462	7.95	-46.24
0.567	4.66	-50.32
0.496	3.18	-48.12
0.598	12.84	-49.17
0.526	11.30	-48.38
0.403	11.46	-45.19
0.505	11.63	-47.80
0.533	8.02	-50.81
0.433	3.64	-49.55
0.506	1.93	-52.51
0.497	4.55	-52.38
0.477	2.36	-51.72
0.568	1.75	-56.33
0.470	-0.92	-52.28
0.463	2.00	-52.17
0.540	1.52	-54.57
0.540	1.64	-54.44
0.598	-1.12	-57.26
0.612	2.41	-58.68
0.512	2.73	-53.75
0.457	-3.07	-52.03
0.506	-4.30	-53.79
0.658	-1.52	-59.21
0.628	3.53	-57.95
0.427	-2.60	-51.38
0.551	-0.47	-54.93
0.370	3.70	-49.93
0.597	1.13	-56.59
0.420	-0.97	-50.66
0.487	-0.58	-53.09
0.603	0.31	-57.96
0.553	3.11	-55.51
0.559	2.36	-55.33
0.542	-2.28	-54.38
0.483	-0.92	-52.48
0.480	1.99	-51.53
0.421	0.77	-49.82
0.465	-0.21	-51.81
0.481	1.47	-52.16
0.472	3.34	-52.57
0.436	-1.50	-50.58
0.421	-0.73	-51.61
0.466	0.69	-52.78
0.550	3.62	-54.62
0.355	-1.03	-49.08
0.518	-0.99	-53.55
0.521	2.20	-54.40
0.480	-1.95	-52.52
0.553	-3.89	-54.89
0.424	-1.73	-50.75
0.485	-1.35	-52.10
0.530	-0.41	-54.22
0.631	-0.86	-58.93
0.497	-1.45	-53.94
0.519	0.43	-53.91
0.570	-1.29	-54.84
0.527	1.74	-54.30
0.537	-2.79	-54.90
0.504	-0.98	-53.22
0.461	-1.21	-52.54
0.533	-0.33	-54.30
0.459	-3.29	-52.71
0.531	-1.37	-54.97
0.597	1.61	-56.60
0.554	-1.99	-54.83
0.552	-5.26	-55.78
0.525	2.09	-53.63
0.562	1.03	-54.87
0.558	-2.30	-56.33
0.576	-0.28	-56.40
0.567	-2.52	-56.43
0.510	-1.28	-54.12
0.503	0.13	-53.71
0.484	1.44	-52.83
0.487	-2.27	-52.39
0.457	0.81	-53.62
0.489	-0.27	-52.28
0.567	-0.18	-55.67
0.560	-0.70	-55.30
0.461	-0.75	-53.13
0.542	-1.79	-55.72
0.479	-1.63	-53.03
0.502	0.85	-53.92
0.389	1.83	-50.42
0.505	-1.11	-52.69
0.449	-2.86	-51.43
0.519	0.34	-54.56
0.546	-0.52	-54.06
0.540	0.74	-54.52
0.422	0.69	-50.86
0.442	1.72	-51.63
0.530	-0.11	-54.54
0.476	-1.29	-53.22
0.540	1.04	-55.52
0.416	2.16	-51.60
0.631	0.30	-57.79
0.428	-3.27	-50.96
0.470	2.87	-52.20
0.431	2.40	-50.86
0.531	-4.50	-53.19
0.590	-4.41	-55.66
0.516	-3.49	-54.26
0.513	-1.61	-54.69
0.646	-1.75	-59.48
0.462	-3.39	-51.86
0.566	-1.30	-55.18
0.642	-0.62	-58.27
0.509	0.43	-52.61
0.596	-1.60	-56.43
0.575	0.65	-55.96
0.540	-2.56	-53.90
0.508	0.50	-52.73
0.517	1.43	-53.65
0.529	0.04	-53.82
0.491	0.46	-51.84
0.489	-1.82	-51.10
0.563	-0.68	-54.45
0.347	-2.79	-48.35
0.504	-0.42	-51.89
0.204	-2.09	-44.41
0.644	6.18	-48.31
0.744	9.36	-48.45
0.684	14.88	-37.26
0.649	16.08	-51.80
0.547	14.01	-36.15
0.698	14.00	-36.47
0.572	11.92	-31.36
0.640	8.19	-39.17
0.604	8.16	-39.28
0.358	8.37	-34.35
0.657	9.85	-43.97
0.520	10.26	-38.58
0.603	7.29	-41.41
0.787	5.62	-51.67
0.780	8.66	-47.06
0.802	12.60	-46.19
0.802	14.28	-51.42
0.838	14.83	-47.90
0.796	16.60	-50.03
0.856	16.14	-45.64
0.790	13.86	-45.82
0.798	7.17	-36.25
0.758	4.23	-32.66
0.726	1.34	-30.88
0.702	2.07	-31.22
0.734	6.18	-41.82
0.697	5.21	-41.44
0.713	6.40	-33.10
0.696	7.38	-32.41
0.707	7.73	-33.28
0.695	7.69	-33.99
0.716	9.31	-37.00
0.698	10.09	-38.54
0.663	12.98	-39.02
0.688	8.48	-39.76
0.641	8.70	-36.75
0.695	10.80	-39.71
0.691	8.80	-41.98
0.659	11.70	-40.67
0.747	13.02	-47.66
0.710	14.21	-37.51
0.680	15.52	-38.02
0.641	14.34	-38.43
0.612	7.33	-42.11
0.566	5.97	-36.65
0.605	7.08	-37.26
0.744	6.36	-46.04
0.758	9.66	-45.82
0.634	6.82	-36.73
0.720	9.91	-34.36
0.733	6.36	-41.01
0.742	-0.20	-40.95
0.687	-2.33	-37.66
0.668	0.47	-37.49
0.547	5.70	-42.41
0.595	5.86	-38.74
0.584	7.97	-39.32
0.557	5.22	-39.30
0.642	6.44	-41.59
0.691	6.22	-41.23
0.723	4.11	-38.12
0.739	2.43	-36.14
0.780	2.48	-44.65
0.814	3.18	-47.83
0.801	3.95	-43.18
0.801	4.20	-43.52
0.799	6.34	-44.41
0.820	6.21	-37.65
0.765	5.12	-34.72
0.790	2.23	-38.77
0.801	-0.88	-39.20
0.684	-1.92	-32.74
0.652	-2.16	-31.63
0.696	-3.91	-33.75
0.654	-1.63	-33.03
0.701	-4.34	-35.20
0.643	-3.04	-35.50
0.606	2.73	-36.64
0.537	8.41	-36.40
0.656	4.62	-45.02
0.626	7.46	-44.01
0.564	8.34	-40.47
0.609	3.35	-39.89
0.595	4.61	-35.74
0.626	9.57	-31.80
0.615	16.07	-28.07
0.676	16.79	-43.17
0.582	15.14	-38.82
0.552	12.99	-37.33
0.604	13.31	-44.86
0.658	14.21	-30.72
0.633	12.91	-43.68
0.788	7.11	-43.32
0.403	9.04	-37.22
0.610	5.08	-38.38
0.555	-5.63	-36.77
0.529	-4.24	-38.21
0.525	-4.93	-39.94
0.567	-3.85	-42.91
0.583	-2.91	-46.48
0.453	-6.37	-39.01
0.477	-5.52	-39.79
0.572	-8.43	-41.82
0.533	-11.57	-41.15
0.439	-17.99	-35.86
0.543	-13.53	-41.64
0.387	-11.47	-38.95
0.549	-10.06	-44.78
0.474	-11.09	-42.00
0.408	-11.96	-41.57
0.648	-12.78	-50.89
0.591	-13.33	-46.51
0.504	-13.38	-43.97
0.484	-14.34	-43.18
0.564	-7.49	-46.89
0.450	1.33	-45.60
0.546	-7.86	-48.17
0.443	-9.92	-44.80
