
1687861546.946	idleblink
1687861551.226	idleblink
1687861554.926	idleblink
1687861559.266	idleblink
1687861562.086	idleblink
1687861563.326	idleblink
1687861569.786	idleblink
1687861573.466	idleblink
1687861575.846	idleblink
1687861579.466	idleblink
1687861581.386	idleblink
1687861584.425	idleblink
1687861588.186	idleblink
1687861593.345	idleblink
1687861598.405	idleblink

1687861725.951	idleblink
1687861729.791	idleblink
1687861733.512	idleblink
1687861738.551	idleblink
1687861743.091	idleblink
1687861746.192	idleblink
1687861750.232	idleblink
1687861755.411	idleblink
1687861758.671	idleblink
1687861760.032	idleblink
1687861765.391	idleblink
1687861768.392	idleblink
1687861773.211	idleblink
1687861774.171	idleblink
1687861781.051	idleblink
1687861785.231	idleblink
1687861786.251	idleblink
1687861789.491	idleblink
1687861793.872	idleblink
1687861799.452	idleblink
1687861801.971	idleblink
1687861802.752	idleblink
1687861804.572	idleblink
1687861809.891	idleblink
1687861812.471	idleblink
1687861815.052	idleblink

